Column1,Unnamed: 0,cat2_slug,cat3_slug,city_slug,neighborhood_slug,created_at_month,user_type,description,title,rent_mode,rent_value,rent_to_single,rent_type,price_mode,price_value,credit_mode,credit_value,rent_credit_transform,transformable_price,transformable_credit,transformed_credit,transformable_rent,transformed_rent,land_size,building_size,deed_type,has_business_deed,floor,rooms_count,total_floors_count,unit_per_floor,has_balcony,has_elevator,has_warehouse,has_parking,construction_year,is_rebuilt,has_water,has_warm_water_provider,has_electricity,has_gas,has_heating_system,has_cooling_system,has_restroom,has_security_guard,has_barbecue,building_direction,has_pool,has_jacuzzi,has_sauna,floor_material,property_type,regular_person_capacity,extra_person_capacity,cost_per_extra_person,rent_price_on_regular_days,rent_price_on_special_days,rent_price_at_weekends,location_latitude,location_longitude,location_radius
1,2,residential-rent,apartment-rent,tehran,tohid,10/1/2024 0:00,,تخلیه پایان ماه,آپارتمان ۳ خوابه ۱۳۲ متر,مقطوع,26000000,,,,,مقطوع,750000000,FALSE,FALSE,750000000,,26000000,,,132,,,3,سه,,,,TRUE,TRUE,TRUE,۱۴۰۱,FALSE,,,,,,,,,,,,,,,,,,,,,,35.70386505,51.37345886,
2,7,residential-sell,apartment-sell,tehran,dardasht,9/1/2024 0:00,مشاور املاک,"♡♡♡♡♡♡بنام خدا♡♡♡♡♡♡
♡♡♡عرض ادب واحترام♡♡♡
♡♡♡♡املاک بزرگ اریو♡♡♡♡
باافتخارازابتداتا انتهادرکنارشما
سروران عزیزوگرامی
کارشناس مشاور منطقه دهقان
اپارتمان ۱۰۰متری
۴طبقه تک واحدی
طبقه ۳و۴ فروش
فول امکانات
لوکیشن موقعیت عالی
دسترسی عالی به مترو بی ارتی وبازار روز مرکزی وفروشگاه
فروشنده صددرصد
برای اطلاعات بیشتر تماس بگیرید
       املاک اریو",اپارتمان ۱۰۰متری طبقه۳و۴ فول دردشت شمالی,,,,,مقطوع,8700000000,,,,,,,,,,100,,,4,دو,,,,TRUE,TRUE,TRUE,۱۳۹۳,,,,,,,,,,,,,,,,,,,,,,,35.7298317,51.50546646,500
5,11,residential-rent,apartment-rent,tehran,gisha,8/1/2024 0:00,مشاور املاک,"‼️‼️ارزنده ترین واحد منطقه ‼️‼️ 

✅ 91 متر با 2 خواب بزرگ     
  
✅ بسیار خوش نقشه بدون فضای پرتی  
 
✅ سالن پرده خور با پنجره های قدی

☀️ آفتاب مستقیم عالی 

✅ پاسیو (حیاط خلوت) بزرگ
 
✅ مشاعات تمیز   
  
✅ دسترسی عالی به بوستان گفتگو و حمل و نقل عمومی 
  
⬅️ تخفیف پای قرارداد 

☑️با من وفا ، مشاور تخصصی اجاره در منطقه در تماس باشید 

               ☑️ پایان جستجو شما افتخار ما☑️",گیشا / ۹۱ متر /فرعی زوج مشرف به پارک گفتگو/ ارزنده,مجانی,0,,rent_credit,,,مقطوع,1200000000,TRUE,TRUE,1200000000,800000000,0,12000000,,91,,,1,دو,5,,TRUE,FALSE,TRUE,TRUE,۱۳۸۵,TRUE,,,,,,,squat_seat,,,south,,,,,,,,,,,,35.73395157,51.3806076,500
9,16,residential-sell,plot-old,tehran,shahrak-naft-district5,7/1/2024 0:00,,"۷۰۰ متر باغ ۱۰۰ ساله،
واقع در روستای زیبای رندان،
خیابان آبشار (بهترین خیابان روستا - قسمت تهران نشین)
خارج از بافت بومی روستا،
دارای آب، برق، گاز، تلفن (برای خرید اشتراک باید اقدام شود)
بِکر و دست نخورده،
داخل بافت،
مناسب برای ساخت بومگردی و گردشگری یا رستوران یا ساخت ویلا،
(برای ساخت ویلا یا رستوران باید مراحل اداری طبق روال طی شود)
طبق نقشه ای که تصویر آن را گذاشته ام،
۲ قطعه زمین هست و از وسط آن رودخانه رد شده است،
(حریم رودخانه حفظ شده است)
فاصله از فلکه دوم شهران تا باغ، ۲۵ دقیقه،
دارای سند شورایی،
می توانید با پرداخت هزینه،
سند تک برگ دریافت کنید،
همسایه های اطراف،
سند تک برگ دریافت کرده اند،
دارای درختان ۱۰۰ ساله ی گردو، تبریزی و درخت گیلاس،
لطفاً قبل از خرید تشریف ببرید قیمت هارو دقیق از املاک روستا و املاک های اطراف سوال کنید،
بعد برای خرید تماس بگیرید،
به علّت نیاز مالی فروشنده شدم،
وگرنه نمی فروختم،
۱۰۰ ساله که مالک این باغ هستیم و از قدیمی های روستا هستیم،

<<<<< امکان تهاتر با آپارتمان یا خودرو وجود دارد >>>>>",تهاتر یا فروش باغی زیبا در روستای زیبای رندان,,,,,مقطوع,18000000000,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.89018631,51.28019714,
19,36,residential-rent,apartment-rent,tehran,majidiyeh,11/1/2024 0:00,مشاور املاک,"60 متر آپارتمان 

یک خوابه 

طبقه دوم 

بازسازی شده 

تک واحدی 

با پارکینگ 

با دسترسی عالی به مراکز خرید و مترو و اتوبان ها

با نورگیر عالی",60 متر یک خوابه,مقطوع,15000000,,rent_credit,,,مقطوع,150000000,FALSE,FALSE,150000000,,15000000,,,60,,,2,یک,,,,FALSE,FALSE,TRUE,۱۳۸۳,TRUE,,,,,,,,,,,,,,,,,,,,,,35.73590851,51.46439743,500
25,48,residential-rent,apartment-rent,tehran,west-tehranpars,7/1/2024 0:00,مشاور املاک,"✅.....املاک بزرگ تهرانپارس:سام.....✅


86 متر بهترین نقشه بدون پرتی فول امکانات

امکانات آپارتمان

✅✅بهترین لوکیشن بین فلکه دوم و سوم غربی های تهرانپارس
✅✅ساختمان 4 ساله
✅✅ پارکینگ انباری آسانسور بالکن
✅✅بهترین متریال منطقه
✅✅ساخته شده توسط بهترین سازنده به نام منطقه
✅✅بهترین متریال روز
✅✅مشاعات بسیار عالی و تمیز
✅✅مدیریت خیلی قوی
✅✅بهترین کوچه و فرعی
✅✅محلیت بسیار آرام و بی سروصدا

⚜️⚜️⚜️⚜️⚜️⚜️⚜️⚜️⚜️⚜️
امکانات واحد

⚜️⚜️فول امکانات 
⚜️⚜️1 خواب مستر
⚜️⚜️بدون پرتی و بسیار خوش نقشه
⚜️⚜️واحد نوساز کلید نخورده
⚜️⚜️پذیرایی با نقشه فوق‌العاده مناسبت سخت پسندان
⚜️⚜️بهترین نورگیری رو به آفتاب
⚜️⚜️آشپزخانه استاندارد و بزرگ و نورگیر
⚜️⚜️خوابهای بزرگ با کمد دیواری عمیق‌ و عریض 
⚜️⚜️قابلیت جاگذاری تخت 2 نفره در هر اتاق



✔️ملک کارشناسی شده و به قیمت رسیده شده✔️
_________________________________________
املاک بزرگ سام تهرانپارس 
مشاوره رایگان در امور ملکی : ملک",86متر*2خواب*کلید نخورده*فول*بهترین لوکیشن,مجانی,0,,rent_credit,,,مقطوع,1500000000,TRUE,TRUE,1500000000,750000000,0,22500000,,86,,,2,دو,5,3,TRUE,TRUE,TRUE,TRUE,۱۴۰۰,TRUE,,package,,,shoofaj,water_cooler,squat_seat,,,south,,,,stone,,,,,,,,35.73941422,51.5251503,500
28,53,residential-rent,apartment-rent,tehran,tehran-kerman,6/1/2024 0:00,,این واحد در طبقه همکف یک ساختمان دوطبقه واقع شده که حیاط در دسترس دارد و انباری ۴۰ متری در زیر زمین دارد بازسازی کامل شده و هال و پذیرایی جداگانه و یک اتاق خواب دارد ساختمان جنوبی و پارکینگ ندارد,اپارتمان ۸۰ متری بازسازی کامل یکخواب,مقطوع,10000000,,,,,مقطوع,250000000,FALSE,FALSE,250000000,,10000000,,,80,,,0,یک,2,1,,FALSE,TRUE,FALSE,۱۳۷۵,TRUE,,,,,,water_cooler,,,,south,,,,ceramic,,,,,,,,35.72946548,51.46846008,
30,55,residential-rent,apartment-rent,tehran,abouzar,6/1/2024 0:00,مشاور املاک,"✅پارکینگ
✅انباری
✅بالکن
✅آسانسور
✅دو خوابه
✅کابینت MDF
✅حمام مستر
✅سرویس ایرانی و فرنگی 
✅هود و گاز صفحه ای
✅کفپوش سرامیک 
✅نورگیر عالی 
✅بازدید مساوی قرارداد
✅محیطی آرام با دسترسی فوق العاده
✅لطفا جهت اطلاعات بیشتر تماس بگیرید جسارتا پاسخ کامل به پیامک ها مقدور نمیباشد.

♦️مشاور شما در امور ملکی ابوطالبی♦️",آپارتمان ۸۵ متری نبرد جنوبی نصر,مقطوع,15000000,,rent_credit,,,مقطوع,300000000,FALSE,FALSE,300000000,,15000000,,,85,,,5,دو,5,4,TRUE,TRUE,TRUE,TRUE,۱۳۹۶,,,package,,,shoofaj,water_cooler,squat_seat,,,north,,,,ceramic,,,,,,,,35.65723801,51.47232437,500
31,57,residential-sell,apartment-sell,tehran,ekhtiyariyeh,12/1/2024 0:00,,"خوش نقشه 
نورگیر عالی

پارکینگ آسانسور انباری بالکن 

مشاعات تمیز 

بهترین فرعی ها 
دسترسی خوب 

معرفی موارد مشابه۳ خواب

شادمهرم مشاورتون",منظریه ۱۵۰متر ۳خ,,,,,مقطوع,23000000000,,,,,,,,,,150,single_page,,1,سه,5,2,TRUE,TRUE,TRUE,TRUE,۱۳۸۳,FALSE,,,,,,,squat_seat,,,north,,,,stone,,,,,,,,35.78500366,51.45465851,
33,59,residential-sell,apartment-sell,tehran,fallah,6/1/2024 0:00,,"☆هوالرزاق☆
باسلام و درود بیکران
♦️سند آزاد تک برگ قابلیت دریافت وام
♦️طبقه اول ۹۷ متری، دو خواب
♦️موقعیت واحد جنوبی کم واحد
♦️نما سنگ
♦️کلا ۱۰ واحده پنج طبقه ۲ واحدی
♦️آسانسوردار
♦️پارکینگ سندی غیر مزاحم
♦️آشپزخانه بزرگ دارای کابینتهای ممبران فراوان
♦️کمد دیواریهای بزرگ
♦️هر دو خواب تخت خور
♦️گاز رو میزی هود لمسی
♦️دارای تراس
♦️کف سرامیک
♦️سیستم سرمایشی کولر آبی
♦️گرمایشی پکیج
♦️کاغذ دیواری شده مرتب
♦️قابلیت رهن به مبلغ ۷۰۰ میلیون
♦️با یک خط تلفن ثابت
♦️۲۵۰ میلیون پارکینگ سندی طبق عرف
♦️تا برج ۶/۱۴۰۴ دست مستاجره با ۱۰۰ ودیعه ۱۳ کرایه
♦️دسترسی عالی به مترو و کلیه اماکن رفاهی
مدارک آماده انتقال سند در دفترخانه

خودم مالک هستم، بدون واسطه **********
فروشنده صد در صد واقعی 
ممنونم از برنامه خوب دیوار",آپارتمان۹۷ متری۲ خواب مقدم*شهسوار شمالی*,,,,,مقطوع,4580000000,,,,,,,,,,97,single_page,,1,دو,5,2,TRUE,TRUE,FALSE,TRUE,۱۳۹۴,FALSE,,package,,,shoofaj,water_cooler,squat,,,south,,,,ceramic,,,,,,,,35.657444,51.37277603,
36,65,residential-rent,apartment-rent,tehran,jordan,12/1/2024 0:00,,"✔️به نام یگانه معمار هستی
✔️ فتحی هستم کارگزار شما در امور ملکی
✔️ گروه مشاورین املاک آ پ آ میرداماد


✔️۱۱۵ متر واحد مسکونی شیک و زیبا
✔️ آپارتمان شخصی ساز و مهندسی ساز
✔️ متریال به کار رفته در خور تحسین


✔️ بهترین طبقه ساختمان
✔️ خوش نقشه و بدون هیچگونه دیوار مشترک
✔️ بهترین طبقه ساختمان


✔️فرعی دنج و مشجر
✔️ قابلیت سکونت برای چندین سال متوالی
✔️ بدون سکونت مالک محترم
✔️ دسترسی بینظیر


✔️ امکانات کامل
✔️ پارکینگ انباری آسانسور بالکن
✔️ سرایداری و نگهبانی
✔️لابی شیک و زیبا
✔️روف گاردن چهار فصل
✔️سالن جیم


✔️ بازدید با هماهنگی
✔️فقط رهن کامل
✔️ موارد دو خوابه از ۹۰ تا ۱۳۰ متری شیک و نوساز یا مشابه نوساز موجود داریم",۱۱۵ متر مشابه نوساز جردن ولیعصر,مجانی,0,,,,,مقطوع,2500000000,FALSE,FALSE,2500000000,,0,,,115,,,4,دو,,,,TRUE,TRUE,TRUE,۱۴۰۰,FALSE,,,,,,,,,,,,,,,,,,,,,,35.76875687,51.41999817,500
39,68,commercial-rent,shop-rent,tehran,tajrish,5/1/2024 0:00,مشاور املاک,"تجریش،برِ اصلی

         63 متر مغازه با بر و ارتفاع ایده آل
                   بی نیاز از تعریف

                گذر در حدِ راهپیمایی
     آب،برق سه فاز،گاز،امکانِ اگزاست فن



«بورس تجاری های تجریش»
            موسوی","اجاره 63 متر مغازه ،، برِ تجریش",مقطوع,100001,,rent_credit,,,مجانی,0,FALSE,FALSE,0,,100001,,,63,,,,بدون اتاق,,,,,,,قبل از ۱۳۷۰,,,,,,,,,,,,,,,,,,,,,,,35.80446625,51.43444061,500
42,72,residential-sell,apartment-sell,tehran,nabi-akram,11/1/2024 0:00,,"خ پیروزی
نبرد شمالی
کوچه احتشامی فر
تکواحدی
آسانسور
انباری
خوش نقشه
تخلیه
مشاور شما عزیزان ، ریوندی
مسکن سیدخندان",55 متر نبرد شمالی,,,,,مقطوع,4200000000,,,,,,,,,,55,single_page,,3,یک,4,1,TRUE,TRUE,TRUE,FALSE,۱۳۹۹,TRUE,,package,,,shoofaj,water_cooler,squat_seat,,,north,,,,ceramic,,,,,,,,35.68266296,51.4793663,
48,82,residential-rent,apartment-rent,tehran,hekmat,10/1/2024 0:00,,"♻️♦️کل عکسهای واحد موجود میباشد♻️

✅️ مشخصات دقیق میباشد
✅️قابل تبدیل نیز میباشد

⚜️آپارتمان ۱۶۰ متری نقشه تفکیکی
⚜️تی وی روم مجزا
⚜️سه خواب + یک مستر

▶️۶طبقه دو واحدی
▶️طبقه اول(روی لابی)
✅️نور شمال و جنوب

▶️پارکینگ .انباری.اسانسور
▶️لابی  ،  سرایداری مقیم

مشاور شما ، فلاحی
مسکن پایا اندرزگو",اندرزگو ۱۶۰ متری,مقطوع,60000000,,,,,مقطوع,1500000000,FALSE,TRUE,1500000000,3500000000,60000000,0,,160,,,1,سه,6,2,FALSE,TRUE,TRUE,TRUE,۱۴۰۱,FALSE,,package,,,duct_split,duct_split,squat_seat,,,south,,,,stone,,,,,,,,35.79918671,51.44571686,500
56,92,residential-rent,apartment-rent,tehran,sarsabil,9/1/2024 0:00,مشاور املاک,"✔️110متر/دو خواب/طبقه سوم
✔️خوش نقشه و نورگیر عالی 
✔️بهترین لوکیشن و دسترسی منطقه 
✔️بهترین کوچه منطقه 
✔️دسترسی کمتر از 10دقیقه به مترو 
✔️دسترسی به امکانات محلی و رفاهی
✔️سالن پرده خور وقابل چیدمان  

✔️تخلیه/کلید نخورده/بازدید آزاد


✔️فول امکانات فول نصبیات فول متریال

✔️هلدینگ بزرگ سام 

کارشناس امور ملکی:بابایی",آپارتمان110متری/دوخوابه/دامپزشکی تقاطع خوش,مجانی,0,,rent_credit,,,مقطوع,1200000000,FALSE,FALSE,1200000000,,0,,,110,,,3,دو,,,TRUE,TRUE,FALSE,TRUE,۱۴۰۳,,,,,,,,,,,south,,,,stone,,,,,,,,35.69324493,51.37308884,500
60,101,residential-rent,apartment-rent,tehran,abdol-abad,8/1/2024 0:00,,"واحد حدود یک هفته ♡♡تازه نقاشی شده ♡ ،دو خواب و یک خواب مستر ،کولر گازی ،کابینت های گلس ترک ،کوچه ۱۲ متری ،پارکینگ بدون مزاحم، واحد در خیابان لقمان جنوبی ،بن بست دوم شقایق هست ،♡♡♡واحد تخلیه شده است♡♡♡
 ...مالک جمالی هستم","آپارتمان ۷۵ متر، دو خوابه ،روشنایی رو به باغ",مقطوع,7500000,,,,,مقطوع,500000000,FALSE,TRUE,500000000,750000000,7500000,1000,,75,,,2,دو,5,2,TRUE,TRUE,TRUE,TRUE,۱۴۰۰,FALSE,,package,,,shoofaj,air_conditioner,squat_seat,,,south,,,,ceramic,,,,,,,,35.63817978,51.35982132,500
61,105,residential-sell,apartment-sell,tehran,jamalzadeh,10/1/2024 0:00,,"(مشاورین املاک شهریاری شعبه 1 )

75متر 2 خواب
5طبقه 2 واحدی
طبقه چهارم
کابینت mdf
گاز رومیزی و هود
لوکیشن خوب
کف سرامیک
پارکینگ
انباری
بالکن
آسانسور
پکیج
خوش نقشه
آیفون تصویری
نوساز
نما سنگ
تخلیه",75متر*فول امکانات*نوساز,,,,,مقطوع,8600000000,,,,,,,,,,75,,,4,دو,5,2,TRUE,TRUE,TRUE,TRUE,۱۴۰۲,FALSE,,package,,,shoofaj,water_cooler,squat,,,north,,,,ceramic,,,,,,,,35.69844818,51.38764954,
72,119,residential-rent,apartment-rent,tehran,niavaran,10/1/2024 0:00,,"۵طبقه دو واحدی ط ۳
پاگرد مجزا 
۳پارکینگ 
آسانسور کدینگ 
لابی و لابی من 
استخر سونا جکوزی 
جیم تجهیز شده 
اجتماعات منهای ۳
تراس قابل چیدمان 
آشپزخانه فرنیش بوش 
سالن تفکیکی 
متریال مولتی برند اروپایی 
ویو شمال و جنوب 
خواب مستر 
سرویسها والهنگ
واحدی بر بام نیاوران 
۲۵٪زیر قیمت
ساختمان سلبریتی نشین 
مناسب مجرد 
امنیت بسیار بالا 
لاندری مجزا",۲۵۰متر/۳پارکینگ/ویو کل شهر,مجانی,0,,,,,مقطوع,6500000000,FALSE,TRUE,6500000000,5000000000,0,45000000,,250,,,3,سه,5,1,TRUE,TRUE,TRUE,TRUE,۱۳۹۷,TRUE,,powerhouse,,,duct_split,duct_split,squat_seat,,,south,,,,stone,,,,,,,,35.81827927,51.46782303,
75,122,residential-sell,apartment-sell,tehran,tehran-police,12/1/2024 0:00,,"آپارتمان ۴ طبقه تک واحدی 
طبقه دوم
فول امکانات 
۱۵ ساله 
نور عالی
نقشه عالی
موقعیت دسترسی عالی به بی آرتی و مترو
خارج از طرح ترافیک 
منطقه امن و ساکت 
مشاور شما ؛
آقا جعفری",آپارتمان ۴۷ متری شریعتی روبرو خیابان ملک,,,,,مقطوع,5400000000,,,,,,,,,,47,,,2,یک,,,,TRUE,TRUE,TRUE,۱۳۸۵,FALSE,,,,,,,,,,,,,,,,,,,,,,35.71848297,51.44298172,
81,132,residential-sell,apartment-sell,tehran,oghaf,6/1/2024 0:00,,"اپارتمان ۱۲۴ متری 
تک واحدی 
شخصی ساز  با بهترین متریال 
کوچه ۱۳ مرکزی 
امکانات ملک داخل اگهی ثبت شده 
اگر سوالی بود در خدمتم 
مالک هستم 
فروشنده واقعی",اپارتمان ۱۲۴ متری تک واحدی (۱۳مرکزی),,,,,مقطوع,10000000000,,,,,,,,,,124,single_page,,3,دو,4,1,FALSE,TRUE,TRUE,TRUE,۱۳۹۰,TRUE,,package,,,shoofaj,water_cooler,squat_seat,,,south,,,,ceramic,,,,,,,,35.75388718,51.51093674,500
82,133,residential-sell,apartment-sell,tehran,sarsabil,11/1/2024 0:00,,"⚜️ به نام خدا ⚜️

             * آگهی این ملک واقعی می‌باشد *

            [ ۱۰ دقیقه پیاده‌روی تا مترو رودکی ]

✓) ۶۵ متر تک خواب 

✓) دو واحدی 

✓) طبقه دوم (سوم نیست)

✓) ۱۹ ساله

✓) تخلیه و آماده تحویل 

✓) بازسازی شده 

☑️پارکینگ غیرمزاحم       ☑️انباری کاذب داخل واحد 

✓) سالن رو به خیابان

✓) آشپزخانه پر کابینت 

✓) اتاق قابلیت تخت دونفره 

✓) مبلغ پارکینگ جدا می‌باشد 

               « قابلیت رهن تا ۶۰۰ میلیون »

           « قابلیت گرفتن وام تا ۹۶۰ میلیون »

               « نقدینگی لازم : ۲٫۵۵۰٫۰۰۰ »

....................صالحی.....................",۶۵ متر / تک خواب / پارکینگ غیرمزاحم / بر اصلی سپه,,,,,مقطوع,3850000000,,,,,,,,,,65,single_page,,2,یک,4,2,,FALSE,FALSE,TRUE,۱۳۸۶,TRUE,,water_heater,,,heater,water_cooler,squat,,,south,,,,ceramic,,,,,,,,35.68748093,51.37046814,500
90,145,residential-rent,apartment-rent,tehran,darrous,7/1/2024 0:00,,"آپارتمان ۱۵۲ متری در بهترین لوکیشن دروس،خیابان یارمحمدی
طبقه ۴ از ۵ - تک واحدی خوش نقشه
سالن بزرگ و غرق در نور 
سه جهت نور 
دارای TVروم جداگانه 
سه خواب بدون پرتی
واحد دارای تراس، انباری بزرگ، پارکینگ، آسانسور میباشد.

تماس: *********** صادقیه
ساعات تماس: ۱۰_۱۵ و ۱۷- ۲۱","۱۵۲ متر ، دروس، یارمحمدی، تک واحدی، سه جهت نور",مقطوع,55000000,,,,,مقطوع,1500000000,FALSE,FALSE,1500000000,,55000000,,,152,,,4,سه,5,1,,TRUE,TRUE,TRUE,۱۳۹۲,FALSE,,,,,,,,,,,,,,,,,,,,,,35.77648544,51.45558929,0
91,147,residential-rent,apartment-rent,tehran,ostad-moein,9/1/2024 0:00,,واحد فوق دو خوابه بوده و بعد از بازسازی یکی از اتاق خوابها را با حال یکسره کردیم و خیلی بزرگ شده و دو فرش ۱۲ متری در آن به راحتی جا میشود,ملک فوق ۵ تا تک واحدی میباشد,مقطوع,13000000,,,,,مقطوع,100000000,FALSE,FALSE,100000000,,13000000,,,80,,,2,دو,,,TRUE,FALSE,FALSE,FALSE,۱۳۸۰,FALSE,,powerhouse,,,shoofaj,water_cooler,squat,,,,,,,ceramic,,,,,,,,35.69034195,51.34275436,
97,154,commercial-rent,office-rent,tehran,mirdamad,5/1/2024 0:00,مشاور املاک,"نور و نقشه عالی 
دسترسی عالی 
امکانات کامل
ساختمان کاملا اداری 
تماس ۲۴ ساعته",۴۰۰ متر/سند اداری/۳ پارکینگ,مقطوع,250000000,,rent_credit,,,مقطوع,2000000000,FALSE,FALSE,2000000000,,250000000,,,400,,,4,سه,,,,TRUE,TRUE,TRUE,۱۳۹۱,,,,,,,,,,,,,,,,,,,,,,,35.75776291,51.44004822,500
105,167,commercial-rent,industry-agriculture-business-rent,tehran,mobarak-abad-e-beheshti,8/1/2024 0:00,,گاراژ۴۰۰متر واقع دردغاقله سرجاده اصلی تریلی روکامل سقف شده دارای لوازم باارتفاع ۶متر امنیت مکانی عالی نزدیک به کیان ابادمناسب هرنوع گارگا یا انبارنگهداری لطفا فقط تماس جوابگوهستم,گاراژ۴۰۰ متر,مقطوع,20000000,,,,,مقطوع,100000000,FALSE,FALSE,100000000,,20000000,,,400,,,,بدون اتاق,,,,,,,۱۴۰۲,,,,,,,,,,,,,,,,,,,,,,,35.55352783,51.34906387,
108,173,residential-rent,apartment-rent,tehran,kuhak,10/1/2024 0:00,,"۱۲۵ متر
۲ خواب
خوش نقشه بدون پرتی
ویو ابدی ۳ جهت 
ویو  جنگل ابدی
کف سرامیک
در هر طبقه ۳ واحدی
بدون دیوار مشترک
لابی بزرگ و شیک

سالن اجتماعات و سالن جیم
لابی من ۲۴ ساعته
واحد های مختلف در طبقات مختلف و متراژهای مختلف موجود میباشد
 دانش",کوهک ۱۲۵ متر برج مجلل نسیم صبا,مقطوع,12000000,,,,,مقطوع,1000000000,FALSE,TRUE,1000000000,1400000000,12000000,0,,125,,,18,دو,,,,TRUE,TRUE,TRUE,۱۴۰۱,FALSE,,,,,,,,,,,,,,,,,,,,,,35.73041153,51.24291229,
114,183,residential-rent,apartment-rent,tehran,almahdi,9/1/2024 0:00,مشاور املاک,"آپارتمان خیلی تمیز 

خوش نقشه 

۲ بر نور 

مالک منعطف

فایل با هر بودجه ای که شما دارین موجود است تماس بگیرید",آپارتمان ۹۵ متری ۲ خوابه,مقطوع,17000000,,rent_credit,,,مقطوع,400000000,TRUE,TRUE,400000000,450000000,17000000,16000000,,95,,,3,دو,4,2,TRUE,FALSE,FALSE,TRUE,۱۳۹۱,TRUE,,package,,,shoofaj,water_cooler,squat_seat,,,north,,,,ceramic,,,,,,,,35.77165604,51.33390808,500
127,201,commercial-sell,office-sell,tehran,north-sohrevardi,5/1/2024 0:00,مشاور املاک,"سهروردی آپادانا
۷۵متر سنداداری
۲اتاقه
پارکینگ 
آسانسور 
نزدیک ۲خط مترو 
دسترسی عالی 
تخلیه آماده تحویل 
نورگیر عالی 
مناسب تمامی مشاغل 
نگهبان مقیم 
تردد بدون مشکل
امکان نصب تابلو",۷۵متر سهروردی شمالی آپادانا سنداداری,,,,,توافقی,,,,,,,,,,,75,,TRUE,3,دو,,,,TRUE,FALSE,TRUE,۱۳۸۳,,,,,,,,,,,,,,,,,,,,,,,35.73287582,51.43479919,500
132,207,residential-rent,apartment-rent,tehran,tehran-kerman,11/1/2024 0:00,,"-	46 متر 
-	13 ساله
-	 طبقه 3 سندی (4 رویتی)
-	در مجموع 7 واحد
-	یک خوابه
-	پارکینگ
-	انباری
-	پکیج
-	کولر گازی
-	کابینت ام دی اف
-	کف سرامیک
-	بین خیابان کرمان و 16 متری 
-       به مجرد موجه هم اجاره داده می شود
-	لطفا املاک تماس نگیرد.",آپارتمان 46 متری - کرمان شمالی,مقطوع,10000000,,,,,مقطوع,250000000,FALSE,TRUE,250000000,100000000,10000000,14500000,,46,,,4,یک,4,2,,FALSE,TRUE,TRUE,۱۳۹۰,FALSE,,package,,,shoofaj,air_conditioner,squat,,,,,,,ceramic,,,,,,,,35.73658371,51.47455215,
135,210,commercial-sell,office-sell,tehran,pirouzi,12/1/2024 0:00,,"تخلیه، خیابان پیروزی روبروی مخابرات پیروزی ، 
3 طبقه دیگر مطب و اداری هستند.
ا دقیقه تا مترو پیروزی ، امکان پارک موتور ، آبدارخانه و کابینت ، گاز رومیزی ، پکیج و کولر ، حمام و پمپ آب
پایان کار شهرداری 96
( امکان تهاتر با واحد کوچکتر در محدوده)",تکواحدی موقعیت اداری(67متر),,,,,مقطوع,6968000000,,,,,,,,,,67,,FALSE,4,یک,,,,TRUE,FALSE,FALSE,۱۳۹۴,,,,,,,,,,,,,,,,,,,,,,,35.682621,51.48508072,
136,213,residential-sell,apartment-sell,tehran,shahrak-e-vali-e-asr,5/1/2024 0:00,,آپارتمان دو خواب بسیار تمیز و بازسازی شده امکانات کامل / دسترسی کامل به تمام نیازهای ضروری / سه طبقه سه واحد,آپارتمان ۸۰ متری ۲ خوابه,,,,,مقطوع,4800000000,,,,,,,,,,80,single_page,,3,دو,3,1,TRUE,FALSE,TRUE,TRUE,۱۳۸۴,TRUE,,water_heater,,,heater,water_cooler,squat,,,south,,,,floor_covering,,,,,,,,35.65064621,51.33820724,
139,216,residential-rent,apartment-rent,tehran,ekbatan,5/1/2024 0:00,,"پسر هستم ، مشخصات کامل در چت ،",نیاز به همخونه,مقطوع,11111111,,,,,مقطوع,11111111,FALSE,FALSE,11111111,,11111111,,,50,,,5,یک,,,,TRUE,FALSE,FALSE,قبل از ۱۳۷۰,FALSE,,,,,,,,,,,,,,,,,,,,,,35.70355606,51.30514145,500
140,217,commercial-rent,shop-rent,tehran,heravi,10/1/2024 0:00,,"شرایط اجاره قابل تبدیل وتوافقی می باشدمغازه دارای دکور زیباومناسب نان فانتزی ، قطعات یدکی ماشین، خشکشویی و ... می باشد",مغازه تجاری,مقطوع,50000000,,,,,مقطوع,500000000,FALSE,FALSE,500000000,,50000000,,,40,,,,بدون اتاق,,,,,,,۱۴۰۳,,,,,,,,,,,,,,,,,,,,,,,35.76221848,51.47369385,
151,231,commercial-rent,office-rent,tehran,central-janat-abad,7/1/2024 0:00,,"اتاق 25متری در پیشخوان دولت
کاملا مجزا با آبدارخانه اختصاصی
مناسب دفاتر بیمه و کارهای اداری و شرکت 
این اتاق هیچ تداخلی با پیشخوان ندارد",اتاق در پیشخوان دولت سند اداری,مقطوع,1000000,,,,,مقطوع,200000000,FALSE,FALSE,200000000,,1000000,,,25,,,1,بدون اتاق,,,,FALSE,FALSE,FALSE,۱۳۸۴,,,,,,,,,,,,,,,,,,,,,,,35.75819778,51.31074905,
